Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-0100100,0.000277,148.217657,95.32607,3e-06,0.000167
PF3D7-0100200,0.001813,96.29898,70.557162,2.6e-05,0.001027
PF3D7-0100300,0.000412,125.28843,72.76802,6e-06,0.000259
PF3D7-0100400,0.001259,132.793978,48.166008,2.7e-05,0.000914
PF3D7-0100600,0.001594,130.2443,88.858785,1.9e-05,0.000949
PF3D7-0100800,0.001814,156.006275,129.859337,1.5e-05,0.00099
PF3D7-0100900,0.001383,121.457476,48.932317,2.9e-05,0.000973
PF3D7-0101000,0.001274,156.096077,52.082709,2.6e-05,0.000951
PF3D7-0101100,0.001663,115.377289,57.120618,3e-05,0.0011
PF3D7-0101300,0.002175,27.478669,35.59258,6.3e-05,0.000947
PF3D7-0101600,0.001725,103.647194,89.147575,2.1e-05,0.000924
PF3D7-0101800,0.001745,128.249378,60.512253,3e-05,0.001178
PF3D7-0101900,0.001295,184.404352,50.049588,2.6e-05,0.001009
PF3D7-0102200,0.06017,0.500987,2.080467,0.029,0.011688
PF3D7-0102300,0.00162,221.486154,281.638031,6e-06,0.000697
PF3D7-0102400,0.001391,99.745014,56.022811,2.7e-05,0.00089
PF3D7-0102500,0.016668,0.376967,2.535628,0.006599,0.002161
PF3D7-0102600,0.000632,207.205325,164.857296,4e-06,0.000351
PF3D7-0102700,0.00129,95.686513,36.209228,3.7e-05,0.000919
PF3D7-0102800,0.000707,146.242612,102.854169,7e-06,0.000413
PF3D7-0102900,0.000826,112.837878,71.768896,1.2e-05,0.000499
PF3D7-0103000,0.001117,124.169012,108.20945,1.1e-05,0.000582
PF3D7-0103100,0.000349,154.80629,157.251992,2e-06,0.000172
PF3D7-0103200,0.000744,136.098079,67.667922,1.3e-05,0.000503
PF3D7-0103300,0.000889,93.351835,80.54555,1.2e-05,0.000479
PF3D7-0103400,0.005399,0.699461,2.447778,0.002213,0.001201
PF3D7-0103500,0.000301,125.196072,67.564051,5e-06,0.000194
PF3D7-0103600,0.00057,119.97124,163.955344,4e-06,0.000242
PF3D7-0103700,0.000917,142.727533,43.67679,2.2e-05,0.000691
PF3D7-0103800,0.000907,182.449838,78.743726,1.2e-05,0.000631
PF3D7-0103900,0.000773,190.882805,154.391295,6e-06,0.000423
PF3D7-0104000,0.00303,108.223205,49.07202,6.5e-05,0.002083
PF3D7-0104100,0.000335,132.296654,48.231706,7e-06,0.00024
PF3D7-0104200,0.01104,0.723973,2.849323,0.003888,0.002239
PF3D7-0104300,0.012494,0.839537,3.199979,0.003917,0.002599
PF3D7-0104400,0.000562,246.563498,97.195611,6e-06,0.000401
PF3D7-0104500,0.002381,104.223733,106.925287,2.3e-05,0.001166
PF3D7-0104600,0.000375,290.983358,97.524295,4e-06,0.000266
PF3D7-0104700,0.000662,135.118399,45.368979,1.5e-05,0.000483
PF3D7-0104800,0.000906,137.339773,89.406247,1.1e-05,0.000554
PF3D7-0104900,0.006211,117.644394,100.11714,6.6e-05,0.003334
PF3D7-0105000,0.003824,282.259689,57.889831,6.7e-05,0.003162
PF3D7-0105100,0.00117,190.354302,60.987078,2e-05,0.000856
PF3D7-0105200,0.000631,249.070132,95.520358,7e-06,0.000456
PF3D7-0105300,0.001384,159.901787,99.723626,1.4e-05,0.000855
PF3D7-0105400.1,0.001582,127.994075,110.671629,1.5e-05,0.000851
PF3D7-0105500,0.001532,119.523326,63.151653,2.8e-05,0.001007
PF3D7-0105600,0.000425,192.968732,76.899815,6e-06,0.000298
PF3D7-0105700,0.000153,97.449431,43.221987,4e-06,0.000105
PF3D7-0105800,0.00037,158.741412,80.973942,5e-06,0.000243
PF3D7-0105900,0.000737,79.531283,63.355201,1.3e-05,0.000404
PF3D7-0106000,0.000593,183.965036,169.473837,4e-06,0.000299
PF3D7-0106100,0.000956,150.690198,82.080471,1.3e-05,0.000619
PF3D7-0106200,0.001105,150.477479,61.220505,1.8e-05,0.000782
PF3D7-0106300,0.000515,220.58504,101.5807,5e-06,0.000353
PF3D7-0106400,0.003478,87.759106,69.676943,5.5e-05,0.001872
PF3D7-0106500,0.000529,120.012202,151.616327,4e-06,0.000233
PF3D7-0106600,0.002572,100.513814,127.68594,2.2e-05,0.00114
PF3D7-0106700,0.000549,117.733147,48.917985,1.2e-05,0.000387
PF3D7-0106800,0.00118,207.524948,42.241486,2.9e-05,0.000959
PF3D7-0106900,0.000446,265.996063,61.850036,8e-06,0.000359
PF3D7-0107000,0.001422,95.184693,45.460849,3.5e-05,0.000967
PF3D7-0107100,0.001004,147.216372,99.539896,1e-05,0.000589
PF3D7-0107200,0.000971,264.718132,57.731904,1.7e-05,0.000788
PF3D7-0107300,0.000885,127.006044,43.260271,2.1e-05,0.000657
PF3D7-0107400,0.000871,212.455538,71.352668,1.2e-05,0.000641
PF3D7-0107500,0.011373,0.9147,3.619489,0.003153,0.002297
PF3D7-0107600,0.000306,104.021429,44.201863,7e-06,0.000214
PF3D7-0107700,0.001592,169.974133,176.277208,9e-06,0.000781
PF3D7-0107800,0.000369,206.130461,101.508765,4e-06,0.000247
PF3D7-0107900,0.001555,178.199873,84.420168,1.9e-05,0.001035
PF3D7-0108000,0.001257,81.693689,33.779342,3.8e-05,0.000875
PF3D7-0108100,0.000696,119.966269,52.44385,1.6e-05,0.000476
PF3D7-0108300,0.001473,3.784591,4.906876,0.000303,0.000641
PF3D7-0108400.1,0.00128,237.707495,242.57655,6e-06,0.000633
PF3D7-0108400.2,0.002753,152.460999,60.878178,4.7e-05,0.001951
PF3D7-0108500,0.028864,0.684874,2.727912,0.010614,0.005798
PF3D7-0108600,0.000701,112.787396,41.634403,1.8e-05,0.000512
PF3D7-0108700,0.000646,74.587748,62.991927,1.2e-05,0.000348
PF3D7-0108800,0.000734,159.248064,63.108064,1.2e-05,0.000524
PF3D7-0109000,0.009415,0.796432,2.45429,0.003849,0.002308
PF3D7-0109100,0.000862,102.219507,143.590185,6e-06,0.000359
PF3D7-0109200,0.000893,210.821706,67.194382,1.4e-05,0.000677
PF3D7-0109300,0.000942,132.169842,63.497222,1.7e-05,0.000631
PF3D7-0109400,0.001174,222.971425,180.621165,7e-06,0.000647
PF3D7-0109500,0.001705,133.47613,109.642155,1.6e-05,0.000925
PF3D7-0109600,0.003146,292.995075,173.472462,1.8e-05,0.001971
PF3D7-0109700,0.004319,9.650506,11.342479,0.00039,0.001984
PF3D7-0109800,0.001474,147.387312,137.263417,1.1e-05,0.000752
PF3D7-0109850,0.000875,245.301399,148.65494,6e-06,0.000542
PF3D7-0109950,0.003021,188.446474,221.08034,1.4e-05,0.00138
PF3D7-0110000,0.001147,142.485573,70.078161,1.7e-05,0.00076
PF3D7-0110100,0.000566,168.835681,104.454417,5e-06,0.000341
PF3D7-0110200,0.001069,255.973472,71.429792,1.5e-05,0.00083
PF3D7-0110300,0.007142,222.355275,206.195774,3.6e-05,0.003724
PF3D7-0110400,0.001553,97.834028,57.046656,2.9e-05,0.000971
PF3D7-0110500,0.000548,25.43917,27.315745,2.1e-05,0.000261
PF3D7-0110600,0.002549,2.526535,3.747821,0.000683,0.001026
PF3D7-0110700,0.000477,106.850896,55.393279,9e-06,0.000315
PF3D7-0110800,0.001549,108.817798,87.268728,1.8e-05,0.000851
PF3D7-0110900,0.001128,178.001404,42.611039,2.7e-05,0.000903
PF3D7-0111000,0.000242,196.564122,123.012979,2e-06,0.000149
PF3D7-0111200,0.002848,174.678239,118.868087,2.4e-05,0.001663
PF3D7-0111300,0.000433,175.996658,200.341354,2e-06,0.000202
PF3D7-0111400,0.000722,79.224394,89.298427,8e-06,0.000338
PF3D7-0111500,0.0007,207.501907,82.190033,9e-06,0.000498
PF3D7-0111600,0.001544,171.948056,90.564137,1.7e-05,0.000954
PF3D7-0111700,0.00115,158.838051,47.933352,2.5e-05,0.000882
PF3D7-0111800,0.000381,172.975838,78.797591,5e-06,0.000258
PF3D7-0111900,0.004627,101.067691,44.16292,0.000108,0.003203
PF3D7-0112000,0.001304,241.973115,136.917631,1e-05,0.000825
PF3D7-0112100,0.004258,110.792877,101.789777,4.3e-05,0.002132
PF3D7-0112200,0.000193,155.055629,48.713774,4e-06,0.000145
PF3D7-0112700,0.001041,5.620285,8.158497,0.000129,0.000425
PF3D7-0112800,0.00075,275.617375,67.414881,1.2e-05,0.000602
PF3D7-0112900,0.000538,111.697938,59.068691,1.1e-05,0.000355
PF3D7-0113000,0.087199,0.396065,8.713162,0.010066,0.003805
PF3D7-0113100,0.000462,141.495648,179.229479,3e-06,0.000201
PF3D7-0113200,0.000744,96.81935,80.284318,1e-05,0.000406
PF3D7-0113300,0.001204,78.605164,79.90929,1.8e-05,0.000597
PF3D7-0113400,0.000887,115.903068,79.579768,1.2e-05,0.000526
PF3D7-0113600,0.000252,141.080486,55.716543,5e-06,0.00018
PF3D7-0113700,0.001047,109.840202,112.707613,9e-06,0.000514
PF3D7-0113800,0.000227,109.865584,82.499532,3e-06,0.000126
PF3D7-0113900,0.001571,117.693042,78.506269,2.1e-05,0.000942
PF3D7-0114000,0.000286,182.031533,85.512609,3e-06,0.000193
PF3D7-0114100,0.00099,144.18316,40.623589,2.6e-05,0.000771
PF3D7-0114200,0.0015,176.18067,92.416574,1.7e-05,0.000981
PF3D7-0114500,0.001484,161.123984,67.879283,2.2e-05,0.001022
PF3D7-0114700,0.001469,163.228057,62.970469,2.4e-05,0.001052
PF3D7-0114800,0.002393,126.871938,58.890492,4.2e-05,0.001628
PF3D7-0115000,0.0003,246.960646,159.914786,2e-06,0.000178
PF3D7-0115100,0.001707,123.523707,60.24424,3.3e-05,0.00116
PF3D7-0115300,0.001474,139.053419,65.042245,2.6e-05,0.001012
PF3D7-0115400,0.002176,281.931262,261.449803,9e-06,0.001131
PF3D7-0115500,0.001199,159.621424,80.381399,1.5e-05,0.000789
PF3D7-0115600,0.001644,152.218218,121.630692,1.4e-05,0.000898
PF3D7-0115700,0.000305,71.74317,44.816465,7e-06,0.000184
PF3D7-0200100,0.000502,82.24579,110.54355,5e-06,0.000213
PF3D7-0200200,0.00154,219.34622,111.248752,1.4e-05,0.001019
PF3D7-0200300,0.001029,165.87796,54.623538,2e-05,0.000773
PF3D7-0200400,0.001521,138.246992,48.996445,3.4e-05,0.001118
PF3D7-0200500,0.001352,152.545402,66.933729,2e-05,0.000919
PF3D7-0200600,0.001291,116.440557,48.11554,2.8e-05,0.000907
PF3D7-0200700,0.001703,140.316514,93.168828,2e-05,0.001032
PF3D7-0201000,0.002214,158.720261,161.523869,1.4e-05,0.001091
PF3D7-0201200,0.001576,165.273267,106.008562,1.6e-05,0.000955
PF3D7-0201300,0.001799,108.068954,65.458241,2.8e-05,0.001113
PF3D7-0201400,0.004222,76.799309,65.571164,7e-05,0.002236
PF3D7-0201500,0.000491,96.358583,72.483354,7e-06,0.000279
