Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-0100100,0.000264,156.108132,77.845311,3e-06,0.000175
PF3D7-0100200,0.001537,193.010221,91.832047,1.7e-05,0.001039
PF3D7-0100300,0.000384,143.536711,68.466772,6e-06,0.000259
PF3D7-0100400,0.001532,137.408218,90.13236,1.7e-05,0.000923
PF3D7-0100500,0.014533,178.912753,102.823502,0.000143,0.00919
PF3D7-0100600,0.001468,188.50456,99.46645,1.5e-05,0.000954
PF3D7-0100700,0.007575,149.455749,74.518625,0.000102,0.005047
PF3D7-0100800,0.001503,135.556244,70.099247,2.3e-05,0.000995
PF3D7-0100900,0.00169,154.510896,111.021011,1.5e-05,0.000978
PF3D7-0101000,0.001477,115.821822,62.126788,2.4e-05,0.000956
PF3D7-0101100,0.001708,158.39122,86.905582,2.1e-05,0.001107
PF3D7-0101200,0.002057,153.054102,58.564699,3.5e-05,0.001486
PF3D7-0101300,0.001544,114.634205,86.652495,1.8e-05,0.000875
PF3D7-0101400,0.00167,184.898972,62.687609,2.7e-05,0.001244
PF3D7-0101500,0.000923,139.868655,66.664363,1.4e-05,0.000625
PF3D7-0101600,0.001437,190.767508,104.786713,1.4e-05,0.000928
PF3D7-0101700,0.001169,131.847961,71.173485,1.7e-05,0.000758
PF3D7-0101800,0.001765,122.038027,56.686823,3.5e-05,0.001183
PF3D7-0101900,0.001297,266.447635,78.252648,1.7e-05,0.000999
PF3D7-0102000,0.002126,153.519381,85.953229,2.5e-05,0.001356
PF3D7-0102100,0.001999,177.982565,115.393805,1.8e-05,0.001217
PF3D7-0102200,0.002976,1.816613,3.532321,0.000843,0.001011
PF3D7-0102300,0.001305,101.451871,51.165053,2.6e-05,0.000854
PF3D7-0102400,0.001223,125.64355,46.430553,2.7e-05,0.000893
PF3D7-0102500,0.023933,0.532918,23.149434,0.001036,0.000539
PF3D7-0102600,0.000432,235.017438,85.6955,5e-06,0.000311
PF3D7-0102700,0.000849,249.436057,68.731598,1.3e-05,0.000662
PF3D7-0102800,0.000855,129.00848,115.639861,7e-06,0.000446
PF3D7-0102900,0.000593,153.416061,67.656611,9e-06,0.000408
PF3D7-0103000,0.000968,197.653532,91.665153,1.1e-05,0.000659
PF3D7-0103100,0.000379,99.857581,42.761594,9e-06,0.000265
PF3D7-0103200,0.000764,200.352461,86.767692,9e-06,0.000532
PF3D7-0103300,0.000541,192.202581,76.784627,7e-06,0.000379
PF3D7-0103400,0.001875,3.91456,5.374855,0.00035,0.00079
PF3D7-0103500,0.000326,133.265607,83.427618,4e-06,0.000198
PF3D7-0103600,0.000442,153.281559,94.474194,5e-06,0.000272
PF3D7-0103700,0.001045,124.246287,66.147892,1.6e-05,0.000682
PF3D7-0103800,0.001026,124.864215,56.317984,1.8e-05,0.000706
PF3D7-0103900,0.000801,115.043904,67.104677,1.2e-05,0.000505
PF3D7-0104000,0.003112,193.046333,86.215611,3.6e-05,0.002141
PF3D7-0104100,0.000597,91.719897,65.171821,9e-06,0.00035
PF3D7-0104200,0.002519,4.444801,6.198591,0.000408,0.001052
PF3D7-0104300,0.000819,2.427701,4.030004,0.000204,0.000308
PF3D7-0104400,0.000653,127.15008,48.64239,1.4e-05,0.000472
PF3D7-0104500,0.001741,186.262762,180.290888,1e-05,0.00087
PF3D7-0104600,0.000384,176.658758,89.188804,4e-06,0.000255
PF3D7-0104700,0.000635,206.932494,62.733273,1e-05,0.000483
PF3D7-0104800,0.001252,57.500683,51.378085,2.5e-05,0.000656
PF3D7-0104900,0.004621,132.389292,47.510502,9.8e-05,0.003342
PF3D7-0105000,0.004618,177.855896,85.025334,5.5e-05,0.003121
PF3D7-0105100,0.001225,137.973781,55.531075,2.2e-05,0.000872
PF3D7-0105200,0.000824,140.362098,61.880158,1.4e-05,0.00057
PF3D7-0105300,0.00401,22.444151,25.215294,0.000167,0.00189
PF3D7-0105400.1,0.00148,134.781487,78.095946,1.9e-05,0.000923
PF3D7-0105400.2,0.003421,221.595724,67.573825,5.1e-05,0.002616
PF3D7-0105500,0.001592,140.49728,75.341569,2.2e-05,0.001021
PF3D7-0105600,0.000549,140.189794,112.199062,5e-06,0.000304
PF3D7-0105700,0.0006,7.255613,8.892304,6.8e-05,0.000269
PF3D7-0105800,0.001243,19.858754,23.12502,5.5e-05,0.000575
PF3D7-0105900,0.001297,88.603604,78.722622,1.7e-05,0.000687
PF3D7-0106000,0.001743,8.604781,10.385537,0.00017,0.00079
PF3D7-0106100,0.001297,129.250837,89.819865,1.5e-05,0.000747
PF3D7-0106200,0.002973,110.554588,150.031509,2e-05,0.001262
PF3D7-0106300,0.001397,5.033293,6.440912,0.000218,0.000613
PF3D7-0106400,0.001997,181.461403,116.496533,1.7e-05,0.001215
PF3D7-0106500,0.000403,103.559614,43.29582,9e-06,0.000284
PF3D7-0106600,0.002304,141.957214,115.926901,2e-05,0.001247
PF3D7-0106700,0.00065,85.829513,92.298608,7e-06,0.000312
PF3D7-0106800,0.002364,82.476222,45.982979,5.2e-05,0.001505
PF3D7-0106900,0.00105,81.254895,59.272584,1.8e-05,0.000604
PF3D7-0107000,0.001335,113.975197,42.23999,3.2e-05,0.000973
PF3D7-0107100,0.000871,135.792342,62.045045,1.4e-05,0.000595
PF3D7-0107200,0.00123,168.635742,91.616604,1.3e-05,0.000794
PF3D7-0107300,0.001556,158.725496,212.966507,7e-06,0.000664
PF3D7-0107400,0.001281,132.455387,83.00917,1.5e-05,0.000783
PF3D7-0107500,0.000498,43.095016,48.526449,1.1e-05,0.000232
PF3D7-0107600,0.000335,192.605326,140.884608,2e-06,0.000193
PF3D7-0107700,0.001386,140.048271,98.671895,1.5e-05,0.000807
PF3D7-0107800,0.000524,142.721308,102.49083,5e-06,0.000301
PF3D7-0107900,0.001715,122.143373,78.400586,2.2e-05,0.001042
PF3D7-0108000,0.001257,225.057911,60.198432,2.1e-05,0.000981
PF3D7-0108100,0.000978,143.456758,101.300187,1e-05,0.000573
PF3D7-0108300,0.000965,4.585777,5.901661,0.000164,0.000422
PF3D7-0108400.1,0.000875,152.21964,75.302841,1.2e-05,0.000585
PF3D7-0108400.2,0.003164,108.526034,66.101016,4.8e-05,0.001962
PF3D7-0108500,0.001379,22.201697,26.026389,5.5e-05,0.000636
PF3D7-0108600,0.000834,171.045312,94.326944,9e-06,0.000534
PF3D7-0108700,0.000945,22.975528,25.891234,3.8e-05,0.000445
PF3D7-0108800,0.000868,132.966762,41.858054,2.1e-05,0.000652
PF3D7-0108900,0.002775,173.404942,107.711989,2.6e-05,0.001715
PF3D7-0109000,0.002481,4.889919,6.788599,0.000367,0.001039
PF3D7-0109100,0.000567,81.796422,58.136839,1e-05,0.000331
PF3D7-0109200,0.000944,165.079477,60.63825,1.6e-05,0.00069
PF3D7-0109300,0.000952,161.893449,77.223525,1.3e-05,0.000645
PF3D7-0109400,0.000989,130.175716,64.026831,1.6e-05,0.000662
PF3D7-0109500,0.001245,219.473635,106.036613,1.2e-05,0.000834
PF3D7-0109600,0.003235,148.12695,94.422202,3.5e-05,0.001975
PF3D7-0109700,0.001285,151.062809,65.001967,2e-05,0.000898
PF3D7-0109800,0.000837,124.283483,76.454185,1.1e-05,0.000518
PF3D7-0109850,0.002501,8.841912,10.858604,0.000231,0.001122
PF3D7-0109950,0.002038,143.74172,58.696884,3.5e-05,0.001435
PF3D7-0110000,0.001074,242.729727,85.514223,1.3e-05,0.000789
PF3D7-0110100,0.000467,144.561014,59.74468,8e-06,0.000329
PF3D7-0110200,0.001165,189.856768,72.125169,1.6e-05,0.000838
PF3D7-0110300,0.00551,183.5538,85.404026,6.5e-05,0.003743
PF3D7-0110400,0.001427,165.9889,89.425115,1.6e-05,0.000924
PF3D7-0110500,0.000314,120.906675,63.144762,5e-06,0.000206
PF3D7-0110600,0.0009,9.569487,11.535927,7.9e-05,0.000408
PF3D7-0110700,0.000493,135.353125,85.286684,6e-06,0.0003
PF3D7-0110800,0.000837,67.011797,35.527391,2.5e-05,0.000543
PF3D7-0110900,0.001316,185.37304,93.358473,1.4e-05,0.000867
PF3D7-0111000,0.000516,55.450483,45.094344,1.2e-05,0.000278
PF3D7-0111200,0.0027,137.583248,70.344088,3.9e-05,0.001784
PF3D7-0111300,0.000671,51.148829,57.58692,1.2e-05,0.000314
PF3D7-0111400,0.000693,146.333983,76.517574,9e-06,0.000453
PF3D7-0111500,0.002502,15.818205,18.145642,0.000142,0.001168
PF3D7-0111600,0.001381,134.712733,51.300357,2.7e-05,0.000999
PF3D7-0111700,0.001395,169.213137,99.405212,1.5e-05,0.000873
PF3D7-0111800,0.000396,161.629757,85.56747,5e-06,0.000259
PF3D7-0111900,0.005547,154.190267,78.675496,7.3e-05,0.003624
PF3D7-0112000,0.001478,208.584899,169.150289,9e-06,0.000803
PF3D7-0112100,0.003576,175.071753,120.179303,3e-05,0.002099
PF3D7-0112200,0.000344,106.77879,112.250615,3e-06,0.000169
PF3D7-0112300,0.000631,188.324596,59.171691,1.1e-05,0.000479
PF3D7-0112500,0.011142,191.335997,103.367237,0.000117,0.007252
PF3D7-0112700,0.000359,85.607766,36.584093,1e-05,0.000251
PF3D7-0112800,0.000943,196.950865,120.439447,8e-06,0.000584
