Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-0100100,0.000223,191.67881,68.098891,3e-06,0.000164
PF3D7-0100200,0.001537,111.540544,48.785746,3.2e-05,0.001062
PF3D7-0100300,0.000407,171.000925,94.530001,4e-06,0.00026
PF3D7-0100400,0.001535,177.13305,112.23681,1.4e-05,0.000939
PF3D7-0100600,0.001539,171.290502,101.528162,1.5e-05,0.000963
PF3D7-0100700,0.007261,183.695989,78.439508,9.3e-05,0.005085
PF3D7-0100800,0.001315,173.322266,52.923926,2.5e-05,0.001002
PF3D7-0100900,0.001482,164.714925,80.510328,1.8e-05,0.000985
PF3D7-0101000,0.001505,169.319786,93.21681,1.6e-05,0.000964
PF3D7-0101300,0.284535,0.660522,67.355714,0.004236,0.002768
PF3D7-0101600,0.0013,198.9998,76.321987,1.7e-05,0.000935
PF3D7-0101800,0.001716,149.400389,65.085708,2.6e-05,0.001192
PF3D7-0101900,0.00173,182.204079,129.674766,1.4e-05,0.001006
PF3D7-0102200,0.002194,2.121483,3.520122,0.000624,0.000825
PF3D7-0102300,0.006334,6.004694,7.226855,0.00088,0.002875
PF3D7-0102500,0.000186,173.018345,62.970593,3e-06,0.000135
PF3D7-0102600,0.000612,135.481321,106.850606,6e-06,0.000342
PF3D7-0102700,0.000866,225.717127,74.199178,1.2e-05,0.000651
PF3D7-0102800,0.000963,125.870612,61.800886,1.6e-05,0.000643
PF3D7-0102900,0.002551,10.8364,12.556942,0.000205,0.001182
PF3D7-0103000,0.000887,165.518254,62.443892,1.4e-05,0.000643
PF3D7-0103100,0.000406,137.487289,75.058056,5e-06,0.000263
PF3D7-0103200,0.001299,126.765727,48.095311,2.7e-05,0.000938
PF3D7-0103300,0.000666,109.035697,42.92629,1.6e-05,0.000477
PF3D7-0103400,0.001583,10.349133,12.127817,0.000131,0.000729
PF3D7-0103500,0.000537,111.202982,109.966085,5e-06,0.000271
PF3D7-0103600,0.000856,55.896114,46.047147,1.9e-05,0.000466
PF3D7-0103700,0.001208,225.524742,102.263006,1.2e-05,0.00083
PF3D7-0103800,0.000877,164.62395,54.288573,1.6e-05,0.000653
PF3D7-0103900,0.00202,93.073472,94.381154,2.1e-05,0.001001
PF3D7-0104000,0.002894,161.720993,55.217612,5.3e-05,0.002153
PF3D7-0104100,0.000437,133.362997,71.282875,6e-06,0.000283
PF3D7-0104200,0.000926,159.100221,71.991532,1.3e-05,0.000636
PF3D7-0104300,0.000655,14.656793,16.807284,4e-05,0.000305
PF3D7-0104400,0.000815,134.60751,57.289295,1.4e-05,0.000572
PF3D7-0104500,0.003683,53.040415,47.511708,7.8e-05,0.001912
PF3D7-0104600,0.00053,118.436419,74.94864,7e-06,0.000323
PF3D7-0104700,0.0008,147.396828,92.726846,9e-06,0.000488
PF3D7-0104800,0.000958,101.238464,58.807542,1.6e-05,0.000605
PF3D7-0104900,0.005561,141.842714,91.345783,6.2e-05,0.003366
PF3D7-0105000,0.004214,149.457202,51.500641,8.6e-05,0.003142
PF3D7-0105100,0.001261,128.490608,46.048258,2.8e-05,0.000925
PF3D7-0105200,0.001374,84.184876,42.452637,3.3e-05,0.00091
PF3D7-0105300,0.001521,137.837319,63.892378,2.4e-05,0.001035
PF3D7-0105400.1,0.001321,154.666996,81.35542,1.6e-05,0.000863
PF3D7-0105400.2,0.003306,191.746695,52.846739,6.3e-05,0.002579
PF3D7-0105500,0.00197,185.344668,87.010222,2.3e-05,0.001342
PF3D7-0105600,0.000693,136.957031,73.012662,1e-05,0.000449
PF3D7-0105700,0.000597,15.903217,18.256358,3.3e-05,0.000278
PF3D7-0105800,0.000765,100.664456,73.799178,1e-05,0.000439
PF3D7-0105900,0.001353,144.031399,75.01093,1.8e-05,0.000884
PF3D7-0106000,0.000618,117.074315,51.221966,1.2e-05,0.000429
PF3D7-0106100,0.001602,199.676999,94.764627,1.7e-05,0.001082
PF3D7-0106200,0.001464,146.146284,83.592859,1.8e-05,0.000931
PF3D7-0106300,0.001359,12.444933,14.632301,9.4e-05,0.000625
PF3D7-0106400,0.002935,95.78925,49.309453,6.1e-05,0.001936
PF3D7-0106500,0.00044,178.77577,75.54072,6e-06,0.000309
PF3D7-0106600,0.001829,175.550962,97.769591,1.9e-05,0.001161
PF3D7-0106700,0.000675,134.875913,76.735145,9e-06,0.00043
PF3D7-0106800,0.00306,111.210052,84.858647,3.6e-05,0.001735
PF3D7-0106900,0.001838,44.520213,54.357727,3.4e-05,0.000827
PF3D7-0107100,0.001124,147.777174,41.51611,2.7e-05,0.000876
PF3D7-0107200,0.00129,135.489402,62.710642,2.1e-05,0.00088
PF3D7-0107300,0.000993,127.017007,62.372256,1.6e-05,0.000665
PF3D7-0107400,0.002009,100.880397,56.748144,3.6e-05,0.001276
PF3D7-0107500,0.000893,16.172367,18.411664,4.9e-05,0.000418
PF3D7-0107600,0.000299,129.978427,59.840683,5e-06,0.000204
PF3D7-0107700,0.001439,232.547512,104.852649,1.4e-05,0.000989
PF3D7-0107800,0.001243,66.158336,75.255945,1.7e-05,0.000581
